Family	Genus	Scientific name	Adult survival	Age at first breeding	Maximum longevity	Z	GenFLS	GenFL	GenFS	GenLength	Priority for research
Thraupidae	Dacnis	Dacnis viguieri	0,601320024	1,097092953	8,598635869	0,142143345	2,511898594	2,163387356	2,605370419	2,511898594	Low
Thraupidae	Dacnis	Dacnis nigripes	0,611676374	1,002591295	8,347293351	0,142143345	2,4178592	2,046591813	2,577762964	2,4178592	Low
Thraupidae	Dacnis	Dacnis albiventris	0,585941348	0,921810315	7,550131595	0,142143345	2,224207448	1,863982073	2,336927099	2,224207448	Medium
Thraupidae	Saltator	Saltator multicolor	0,637870609	1,095775274	9,157434421	0,142143345	2,697080827	2,241686471	2,85721918	2,697080827	Low
Thraupidae	Saltator	Saltator atricollis	0,709448368	1,335417062	9,761941242	0,142143345	3,443360705	2,533191396	3,777146138	3,443360705	Low
Thraupidae	Saltator	Saltator orenocensis	0,660926716	1,323170701	10,36310452	0,142143345	3,110765308	2,608137133	3,272385656	3,110765308	Low
Thraupidae	Saltator	Saltator similis	0,689070247	1,280677255	9,518475119	0,142143345	3,249525933	2,451625399	3,496837788	3,249525933	Low
Thraupidae	Saltator	Saltator grandis	0,590499309	1,144208007	9,97001009	0,142143345	2,534393376	2,398737037	2,586206328	2,534393376	Low
Thraupidae	Saltator	Saltator olivascens	0,590499309	1,144208007	9,97001009	0,142143345	2,534393376	2,398737037	2,586206328	2,534393376	Low
Thraupidae	Saltator	Saltator coerulescens	0,590499309	1,144208007	9,97001009	0,142143345	2,534393376	2,398737037	2,586206328	2,534393376	Low
Thraupidae	Saltator	Saltator striatipectus	0,717417291	1,436405282	9,408893118	0,142143345	3,498077641	2,569641371	3,975192222	3,498077641	Low
Thraupidae	Saltator	Saltator albicollis	0,701993082	1,397736212	9,654480966	0,142143345	3,454042202	2,57137753	3,75336301	3,454042202	Low
Thraupidae	Saltator	Saltator maximus	0,728542893	1,494031451	9,755200033	0,142143345	3,738067154	2,668301587	4,177854693	3,738067154	Low
Thraupidae	Saltator	Saltator atripennis	0,724947397	1,34110798	9,520516829	0,142143345	3,559103906	2,503756514	3,976776173	3,559103906	Low
Thraupidae	Saltator	Saltator atriceps	0,758495289	1,669930244	11,42093907	0,193790565	4,137966386	3,559583754	4,81063622	4,137966386	Low
Thraupidae	Saltator	Saltator nigriceps	0,717449207	1,319220745	9,423266925	0,142143345	3,381091636	2,471156977	3,858407414	3,381091636	Low
Thraupidae	Saltator	Saltator fuliginosus	0,694612577	1,319220745	9,863318288	0,142143345	3,325256726	2,53370735	3,593749834	3,325256726	Low
Thraupidae	Saltator	Saltator grossus	0,713398389	1,28576614	9,12726216	0,142143345	3,322520634	2,400382614	3,774930058	3,322520634	Low
